所管,組織,,,,,,,,,                        項目,令和2年度要求額(千円),前年度予算額(千円),比較増△減額(千円)
,,,65,061,2,81,5,16,,農地集積・集約化対策推進交付金,"7,190,853","8,203,002","△ 1,012,149"
,,,65,061,2,81,5,16,,国有農地等事務取扱交付金,"1,919,979","1,781,624","138,355"
,,,65,061,2,81,5,16,,農業委員会交付金,"4,718,483","4,718,483",0
,,,65,061,1,82,5,16,,農地集積・集約化対策整備交付金,"24,950,000","29,950,000","△ 5,000,000"
,,,65,061,2,95,9,20,,幼齢林等補償費,"2,000","2,000",0
,,015,,,,,,,農業生産基盤整備推進費,,"28,310,871","23,170,371","5,140,500"
,,,95,061,2,12,9,06,,諸謝金,467,911,△ 444
,,,95,061,2,12,2,08,,職員旅費,"26,768","32,856","△ 6,088"
,,,95,061,2,12,2,08,,委員等旅費,906,"2,049","△ 1,143"
,,,95,061,2,12,3,09,,庁費,"17,955","19,780","△ 1,825"
,,,95,061,2,12,3,09,,農業農村整備等情報化推進調査費,"1,035,146","1,030,146","5,000"
,,,95,061,2,12,3,09,,土地利用調整等調査費,"41,474","46,474","△ 5,000"
,,,95,061,2,12,3,09,,農業生産基盤整備推進環境調査費,"75,155","75,155",0
,,,95,061,2,12,5,14,,農業生産基盤整備推進調査等委託費,"600,000","600,000",0
,,,95,061,2,81,5,16,,農業生産基盤整備推進地方公共団体事業費補助金,"400,000","400,000",0
,,,95,061,1,82,5,16,,特殊自然災害対策整備費補助金,"300,000","150,000","150,000"
,,,95,061,1,82,5,16,,農業水利施設保全管理整備交付金,"20,313,000","17,813,000","2,500,000"
,,,95,061,2,81,5,16,,農業水利施設保全管理推進交付金,"5,500,000","3,000,000","2,500,000"
,,016,,,,,,,海岸事業費,,"3,539,700","3,645,352","△ 105,652"
,,,41,051,1,20,4,00,,海岸保全施設整備事業費,"3,293,116","3,407,490","△ 114,374"
,,,41,051,1,20,4,00,,営繕宿舎費,"21,584","12,862","8,722"
,,,41,051,1,20,4,00,,海岸事業調査費,"5,000","5,000",0
,,,41,051,1,82,5,00,,海岸保全施設整備事業費補助,"220,000","220,000",0
,,017,,,,,,,農業生産基盤整備事業費,,"231,828,006","230,406,631","1,421,375"
,,,46,052,1,20,4,00,,かんがい排水事業費,"54,622,348","58,569,552","△ 3,947,204"
,,,46,052,1,20,4,00,,国営造成施設管理費,"4,997,633","4,395,059","602,574"
,,,46,052,1,20,4,00,,農用地再編整備事業費,"6,167,377","4,938,025","1,229,352"
,,,46,052,1,20,4,00,,地すべり対策事業費,"169,033","195,465","△ 26,432"
,,,46,052,1,20,4,00,,総合農地防災事業費,"25,351,149","20,047,907","5,303,242"
,,,46,052,1,20,4,00,,営繕宿舎費,"1,155,370","1,260,397","△ 105,027"
,,,46,052,1,20,4,00,,農業生産基盤整備事業調査費,"492,195","442,195","50,000"
,,,46,052,1,82,5,00,,諸土地改良事業費補助,"852,988","888,044","△ 35,056"
,,,46,052,1,82,5,00,,土地改良施設管理費補助,"8,476,394","8,243,474","232,920"
,,,46,052,1,82,5,00,,農業競争力強化基盤整備事業費補助,"53,813,187","59,329,180","△ 5,515,993"
,,,46,052,1,82,5,00,,中山間総合整備事業費補助,"4,586,000",0,"4,586,000"
,,,46,052,1,82,5,00,,農村地域防災減災事業費補助,"62,269,332","62,713,333","△ 444,001"
,,,46,052,1,82,5,00,,後進地域特例法適用団体等補助率差額,"8,875,000","9,384,000","△ 509,000"
,,018,,,,,,,農業生産基盤整備事業費食料安定供給特別会計へ繰入,,"6,877,000","11,447,000","△ 4,570,000"
,,,46,052,1,30,6,00,,食料安定供給特別会計へ繰入,"6,877,000","11,447,000","△ 4,570,000"
,,019,,,,,,,国産農産物生産・供給体制強化対策費,,"377,298,611","388,775,263","△ 11,476,652"
,,,65,061,2,12,9,06,,諸謝金,"18,322","17,895",427
,,,65,061,2,12,2,08,,職員旅費,"139,381","142,728","△ 3,347"
,,,65,061,2,12,2,08,,委員等旅費,"23,028","22,124",904
,,,65,061,2,12,3,09,,庁費,"197,754","207,714","△ 9,960"
,,,65,061,2,12,3,09,,情報処理業務庁費,990,103,887
,,,65,061,2,12,3,09,,生産振興調査費,"4,358","7,259","△ 2,901"
,,,65,061,2,12,5,14,,国産農産物生産・供給体制強化対策調査等委託費,"247,233","364,677","△ 117,444"
,,,65,061,2,40,5,16,,国産農産物生産・供給体制強化対策事業費補助金,"13,555,557","13,859,247","△ 303,690"
,,,65,061,2,30,5,16,,野菜価格安定対策費補助金,"5,300,000","3,000,000","2,300,000"
,,,65,061,2,81,5,16,,国産農産物生産・供給体制強化対策地方公共団体事業費補助金,"523,352","522,057","1,295"
,,,65,061,2,40,5,16,,さとうきび・でん粉原料用かんしょ生産者経営安定対策事業費補助金,"32,598","32,557",41
,,,65,061,1,92,5,16,,国産農産物生産・供給体制強化対策整備費補助金,"2,995,000","89,216","2,905,784"
,,,65,061,2,40,5,16,,鶏卵価格安定対策費補助金,"5,173,704","4,861,941","311,763"
,,,65,061,2,81,5,16,,国産農産物生産・供給体制強化対策交付金,"667,663","1,120,082","△ 452,419"
,,,65,061,2,40,5,16,,水田活用直接支払交付金,"305,000,000","321,500,000","△ 16,500,000"
,,,65,065,2,30,5,16,,甘味資源作物・国内産糖調整交付金,"10,544,914","10,050,906","494,008"
,,,65,061,2,81,5,16,,協同農業普及事業交付金,"2,430,803","2,430,803",0
,,,65,061,2,40,5,16,,持続的酪農経営支援事業交付金,"6,135,000","6,237,000","△ 102,000"
,,,65,065,2,30,5,16,,農畜産業振興対策交付金,"24,308,954","24,308,954",0
,,020,,,,,,,牛肉等関税財源国産畜産物生産・供給体制強化対策費,,"37,745,700","38,014,889","△ 269,189"
,,,65,061,2,40,5,16,,牛肉等関税財源国産畜産物生産・供給体制強化対策費補助金,"714,330","983,519","△ 269,189"
,,,65,061,2,40,5,16,,牛肉等関税財源飼料対策費補助金,"1,750,403","1,750,403",0
,,,65,065,2,30,5,16,,牛肉等関税財源畜産業振興対策交付金,"35,280,967","35,280,967",0
,,021,,,,,,,独立行政法人農畜産業振興機構運営費,,"2,653,227","2,608,337","44,890"
,,,65,065,2,30,5,16,,独立行政法人農畜産業振興機構野菜勘定運営費交付金,"600,648","489,371","111,277"
,,,65,065,2,30,5,16,,独立行政法人農畜産業振興機構砂糖勘定運営費交付金,"1,035,275","1,006,760","28,515"
,,,65,065,2,30,5,16,,独立行政法人農畜産業振興機構でん粉勘定運営費交付金,"330,680","314,305","16,375"
,,,65,065,2,30,5,16,,独立行政法人農畜産業振興機構畜産勘定運営費交付金,"632,523","737,272","△ 104,749"
,,,65,065,2,30,5,16,,独立行政法人農畜産業振興機構肉用子牛勘定運営費交付金,"54,101","60,629","△ 6,528"
,,022,,,,,,,独立行政法人家畜改良センター運営費,,"7,025,232","6,662,070","363,162"
,,,65,061,2,30,5,16,,独立行政法人家畜改良センター運営費交付金,"7,025,232","6,662,070","363,162"
,,023,,,,,,,独立行政法人家畜改良センター施設整備費,,"151,038","151,038",0
,,,65,061,1,30,5,16,,独立行政法人家畜改良センター施設整備費補助金,"151,038","151,038",0
,,024,,,,,,,農林水産政策研究所,,"1,089,091","933,059","156,032"
,,,13,061,2,20,1,02,,職員基本給,"425,247","435,768","△ 10,521"
,,,13,061,2,20,1,03,,職員諸手当,"233,428","242,554","△ 9,126"
,,,13,061,2,20,1,04,,超過勤務手当,"11,113","10,995",118
,,,13,061,2,20,1,05,,短時間勤務職員給与,"22,015","5,982","16,033"
,,,13,089,2,20,1,05,,児童手当,"5,390","4,865",525
,,,13,061,2,20,9,06,,諸謝金,"7,624","2,035","5,589"
,,,13,061,2,20,2,08,,職員旅費,"38,949","22,199","16,750"
,,,13,061,2,20,2,08,,受託研究等旅費,212,211,1
,,,13,061,2,20,2,08,,委員等旅費,"9,780","3,137","6,643"
,,,13,061,2,20,2,08,,外国研究者招へい旅費,"1,796","2,113",△ 317
,,,13,061,2,20,3,09,,庁費,"107,532","92,279","15,253"
,,,13,061,2,20,3,09,,国会図書館支部庁費,"11,858","11,650",208
,,,13,061,2,20,3,09,,試験研究費,"112,021","57,123","54,898"
,,,13,061,2,20,3,09,,受託研究等調査費,116,116,0
,,,13,061,2,20,3,09,,招へい外国人滞在費,"1,372","1,359",13
,,,13,199,2,13,3,09,,自動車重量税,0,35,△ 35
,,,13,061,2,12,5,14,,農林水産政策研究調査委託費,"100,638","40,638","60,000"
,,026,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構運営費,,"1,578,379","1,451,353","127,026"
,,,65,061,2,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構農業機械化促進業務勘定運営費交付金,"1,578,379","1,451,353","127,026"
,,027,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費,,"145,902","138,584","7,318"
,,,65,061,1,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費補助金,"145,902","138,584","7,318"
,,028,,,,,,,農業・食品産業強化対策費,,"20,262,770","23,241,031","△ 2,978,261"
,,,65,061,1,82,5,16,,農業・食品産業強化対策整備交付金,"17,796,991","20,371,571","△ 2,574,580"
,,,65,061,2,81,5,16,,農業・食品産業強化対策推進交付金,"2,465,779","2,869,460","△ 403,681"
,,030,,,,,,,農林水産業気候変動・生物多様性保全等対策費,,"154,047","153,340",707
,,,95,061,2,12,9,06,,諸謝金,260,260,0
,,,95,061,2,12,2,08,,職員旅費,"4,948","4,925",23
,,,95,061,2,12,2,08,,委員等旅費,655,652,3
,,,95,061,2,12,3,09,,庁費,"20,541","22,116","△ 1,575"
,,,95,061,2,12,5,14,,農林水産業気候変動・生物多様性保全等対策調査等委託費,"127,643","125,387","2,256"
,,031,,,,,,,環境保全型農業生産対策費,,"2,497,021","2,500,853","△ 3,832"
,,,65,061,2,12,9,06,,諸謝金,805,805,0
,,,65,061,2,12,2,08,,職員旅費,"9,865","10,543",△ 678
,,,65,061,2,12,2,08,,委員等旅費,"1,064","1,099",△ 35
,,,65,061,2,12,3,09,,庁費,"34,487","37,568","△ 3,081"
,,,65,061,2,81,5,16,,環境保全型農業直接支援対策交付金,"2,450,800","2,450,838",△ 38
,,032,,,,,,,農村地域資源維持・継承等対策費,,"74,864,762","74,867,967","△ 3,205"
,,,95,061,2,12,9,06,,諸謝金,"1,822","3,091","△ 1,269"
,,,95,061,2,12,2,08,,職員旅費,"30,090","33,970","△ 3,880"
,,,95,061,2,12,2,08,,委員等旅費,"1,563","4,105","△ 2,542"
,,,95,061,2,12,3,09,,庁費,"79,287","83,350","△ 4,063"
,,,95,061,2,81,5,16,,中山間地域等直接支払交付金,"26,100,000","26,091,451","8,549"
,,,95,061,2,81,5,16,,多面的機能支払交付金,"48,652,000","48,652,000",0
,,044,,,,,,,6次産業化市場規模拡大対策費,,"2,533,863","1,434,295","1,099,568"
,,,65,061,2,81,5,16,,6次産業化市場規模拡大対策推進交付金,"244,988","313,924","△ 68,936"
,,,65,061,1,82,5,16,,6次産業化市場規模拡大対策整備交付金,"2,288,875","1,120,371","1,168,504"
,,033,,,,,,,農山漁村6次産業化対策費,,"1,036,842","1,462,906","△ 426,064"
,,,65,061,2,12,9,06,,諸謝金,"4,621","5,115",△ 494
,,,65,061,2,12,2,08,,職員旅費,"42,589","47,471","△ 4,882"
,,,65,061,2,12,2,08,,委員等旅費,"17,933","19,180","△ 1,247"
,,,65,061,2,12,3,09,,庁費,"17,271","45,971","△ 28,700"
,,,65,061,2,12,3,09,,情報処理業務庁費,"19,968","14,587","5,381"
,,,65,061,2,12,5,14,,農山漁村6次産業化対策調査等委託費,"44,662","80,121","△ 35,459"
,,,65,061,2,40,5,16,,農山漁村6次産業化対策事業費補助金,"489,798","748,218","△ 258,420"
,,,65,061,2,81,5,16,,農山漁村6次産業化対策地方公共団体事業費補助金,"400,000","502,243","△ 102,243"
,,035,,,,,,,農山漁村活性化対策費,,"19,870,146","20,349,721","△ 479,575"
,,,95,061,2,12,9,06,,諸謝金,"3,494","4,770","△ 1,276"
,,,95,061,2,12,2,08,,職員旅費,"29,199","29,199",0
,,,95,061,2,12,2,08,,委員等旅費,"7,817","11,167","△ 3,350"
,,,95,061,2,12,3,09,,庁費,"14,773","16,270","△ 1,497"
,,,95,061,1,82,5,16,,農山漁村活性化対策整備交付金,"8,383,247","8,645,000","△ 261,753"
,,,95,061,2,81,5,16,,農山漁村活性化対策推進交付金,"11,431,616","11,643,315","△ 211,699"
,,036,,,,,,,農山漁村地域整備事業費,,"80,732,000","80,004,000","728,000"
,,,46,052,1,82,5,00,,農山漁村地域整備交付金,"80,732,000","80,004,000","728,000"
,,037,,,,,,,農林水産統計調査費,,"6,460,327","9,207,574","△ 2,747,247"
,,,95,061,2,11,1,05,,統計調査員手当,"1,186,160","986,738","199,422"
,,,95,061,2,12,9,06,,諸謝金,"252,937","250,863","2,074"
,,,95,061,2,12,2,08,,職員旅費,"67,592","68,932","△ 1,340"
,,,95,061,2,12,2,08,,農林漁業センサス実施旅費,"7,726","10,154","△ 2,428"
,,,95,061,2,12,2,08,,委員等旅費,"84,854","72,389","12,465"
,,,95,061,2,12,3,09,,庁費,"120,917","103,432","17,485"
,,,95,061,2,12,3,09,,情報処理業務庁費,"2,784,857","771,039","2,013,818"
,,,95,061,2,12,3,09,,農林漁業センサス実施庁費,"554,523","1,035,303","△ 480,780"
,,,95,061,2,12,3,09,,農林水産統計調査費,"848,695","750,349","98,346"
,,,95,061,2,12,3,09,,電子計算機等借料,"64,354","63,769",585
,,,95,061,2,12,5,14,,農林水産統計調査等委託費,"221,324","241,337","△ 20,013"
,,,95,061,2,12,5,14,,農林漁業センサス実施委託費,"266,388","4,853,269","△ 4,586,881"
,,038,,,,,,,風水害等対策費,,"25,463","25,463",0
,,,95,061,2,82,5,16,,農林水産業共同利用施設災害復旧事業費補助金,"25,463","25,463",0
,,039,,,,,,,受託工事等実施費,,"4,576,240","3,522,535","1,053,705"
,,,95,061,2,95,4,15,,受託工事費,"4,530,230","3,463,615","1,066,615"
,,,95,061,2,94,4,15,,換地清算金,"44,700","57,610","△ 12,910"
,,,95,061,2,95,9,18,,精算還付金,"1,310","1,310",0
,,040,,,,,,,海岸事業調査諸費,,"3,509","3,591",△ 82
,,,41,051,1,20,2,08,,職員旅費,"1,682","1,682",0
,,,41,051,1,20,3,09,,庁費,"1,827","1,909",△ 82
,,041,,,,,,,農業生産基盤整備事業調査諸費,,"1,137,510","1,137,510",0
,,,46,052,1,20,9,06,,諸謝金,"16,089","16,089",0
,,,46,052,1,20,2,08,,職員旅費,"441,999","441,999",0
,,,46,052,1,20,2,08,,委員等旅費,"18,347","18,347",0
,,,46,052,1,20,3,09,,庁費,"661,075","661,075",0
,,042,,,,,,,農業施設災害復旧事業費,,"7,874,859","7,768,294","106,565"
,,,49,053,1,20,4,00,,農業用施設等災害復旧費,"1,161,859","1,139,294","22,565"
,,,49,053,1,82,5,00,,農業用施設等災害復旧事業費補助,"6,713,000","6,629,000","84,000"
,,043,,,,,,,農業施設災害関連事業費,,"416,584","512,584","△ 96,000"
,,,49,053,1,20,4,00,,地すべり対策災害関連緊急事業費,"21,584","21,584",0
,,,49,053,1,82,5,00,,農業用施設等災害関連事業費補助,"369,000","490,000","△ 121,000"
,,,49,053,1,82,5,00,,後進地域特例法適用団体補助率差額,"26,000","1,000","25,000"
,,029,,,,,,,農林水産業ロボット技術活用推進費,,0,"96,519","△ 96,519"
,,,65,061,2,40,5,16,,農林水産業ロボット技術活用推進事業費補助金,0,"96,519","△ 96,519"
,農林水産本省検査指導機関,,,,,,,,,,"16,677,376","16,173,407","503,969"
,,051,,,,,,,農林水産本省検査指導所,,"16,403,080","15,817,637","585,443"
,,,65,061,2,11,1,02,,職員基本給,"7,239,919","7,245,131","△ 5,212"
,,,65,061,2,11,1,03,,職員諸手当,"3,681,492","3,659,082","22,410"
,,,65,061,2,11,1,04,,超過勤務手当,"654,139","640,596","13,543"
,,,65,061,2,11,1,05,,非常勤職員手当,"59,235","58,106","1,129"
,,,65,061,2,11,1,05,,短時間勤務職員給与,"163,313","180,820","△ 17,507"
,,,65,089,2,11,1,05,,児童手当,"82,725","86,265","△ 3,540"
,,,65,061,2,12,9,06,,諸謝金,"4,740","4,740",0
,,,65,061,2,12,2,08,,職員旅費,"27,758","28,038",△ 280
,,,65,061,2,12,2,08,,検査検疫旅費,"209,512","193,002","16,510"
,,,65,061,2,12,2,08,,委員等旅費,"2,732","2,732",0
,,,65,061,2,12,3,09,,庁費,"1,050,125","1,018,985","31,140"
,,,65,061,2,12,3,09,,検査検疫庁費,"2,794,633","2,271,129","523,504"
,,,65,061,2,12,3,09,,通信専用料,"21,777","22,048",△ 271
,,,65,061,2,12,3,09,,土地建物借料,"352,703","356,522","△ 3,819"
,,,65,061,2,12,3,09,,各所修繕,"56,426","48,602","7,824"
,,,65,199,2,13,3,09,,自動車重量税,"1,319","1,259",60
,,,65,029,2,13,5,16,,国有資産所在市町村交付金,532,580,△ 48
,,052,,,,,,,農林水産本省検査指導所施設費,,"274,296","355,770","△ 81,474"
,,,65,061,1,20,2,08,,施設施工旅費,"4,061","1,016","3,045"
,,,65,061,1,20,3,09,,施設施工庁費,"13,595","15,379","△ 1,784"
,,,65,061,1,20,4,15,,施設整備費,"256,640","339,375","△ 82,735"
,農林水産技術会議,,,,,,,,,,"66,572,028","65,985,031","586,997"
,,061,,,,,,,農林水産技術会議共通費,,"2,187,310","2,200,938","△ 13,628"
,,,13,061,2,11,1,02,,職員基本給,"929,197","924,661","4,536"
,,,13,061,2,11,1,03,,職員諸手当,"516,170","509,775","6,395"
,,,13,061,2,11,1,04,,超過勤務手当,"144,434","143,341","1,093"
,,,13,061,2,11,1,05,,委員手当,"10,156","9,793",363
,,,13,061,2,11,1,05,,非常勤職員手当,"21,706","21,706",0
,,,13,061,2,11,1,05,,短時間勤務職員給与,"18,198","19,381","△ 1,183"
,,,13,089,2,11,1,05,,児童手当,"12,230","12,120",110
,,,13,061,2,12,9,06,,諸謝金,502,502,0
,,,13,061,2,12,2,08,,職員旅費,"5,115","5,118",△ 3
,,,13,061,2,12,2,08,,委員等旅費,503,555,△ 52
,,,13,061,2,12,3,09,,庁費,"408,774","408,924",△ 150
,,,13,061,2,12,3,09,,国会図書館支部庁費,"23,636","23,636",0
,,,13,061,2,12,3,09,,宿舎撤去費,"21,406","47,390","△ 25,984"
,,,13,061,2,12,3,09,,土地建物借料,"10,489","10,489",0
,,,13,061,2,12,3,09,,各所修繕,"53,239","51,949","1,290"
,,,13,199,2,13,3,09,,自動車重量税,35,43,△ 8
,,,13,029,2,13,5,16,,国有資産所在市町村交付金,"11,520","11,555",△ 35
,,062,,,,,,,農林水産技術会議施設費,,"182,789","199,403","△ 16,614"
,,,13,061,1,20,2,08,,施設施工旅費,"1,307",491,816
,,,13,061,1,20,3,09,,施設施工庁費,"12,819","18,578","△ 5,759"
,,,13,061,1,20,4,15,,施設整備費,"168,663","180,334","△ 11,671"
,,063,,,,,,,農林水産業研究開発・技術移転推進費,,"5,879,630","5,460,084","419,546"
,,,13,061,2,12,9,06,,諸謝金,"5,569","6,986","△ 1,417"
,,,13,061,2,12,2,08,,職員旅費,"33,466","34,501","△ 1,035"
,,,13,061,2,12,2,08,,委員等旅費,"19,785","23,276","△ 3,491"
,,,13,061,2,12,2,08,,外国研究者招へい旅費,743,"1,192",△ 449
,,,13,061,2,12,3,09,,庁費,"16,998","16,848",150
,,,13,061,2,12,3,09,,試験研究費,"704,429","778,155","△ 73,726"
,,,13,061,2,12,3,09,,通信専用料,"317,468","314,583","2,885"
,,,13,061,2,12,3,09,,電子計算機等借料,"578,191","572,936","5,255"
,,,13,061,2,12,3,09,,招へい外国人滞在費,480,476,4
,,,13,061,2,12,5,14,,試験研究調査委託費,"3,491,401","3,638,559","△ 147,158"
,,,13,061,2,81,5,16,,農林水産試験研究費地方公共団体補助金,"355,565","40,780","314,785"
,,,13,061,2,40,5,16,,農林水産試験研究費補助金,"255,535","31,792","223,743"
,,,13,061,2,30,5,16,,革新的研究開発推進基金補助金,"100,000",0,"100,000"
,,064,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構運営費,,"54,053,016","53,813,688","239,328"
,,,13,061,2,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構農業技術研究業務勘定運営費交付金,"50,412,783","49,849,484","563,299"
,,,13,061,2,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構基礎的研究業務勘定運営費交付金,"3,640,233","3,964,204","△ 323,971"
,,065,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費,,"723,665","744,795","△ 21,130"
,,,13,061,1,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費補助金,"723,665","744,795","△ 21,130"
,,066,,,,,,,国立研究開発法人国際農林水産業研究センター運営費,,"3,545,618","3,492,967","52,651"
,,,13,061,2,30,5,16,,国立研究開発法人国際農林水産業研究センター運営費交付金,"3,545,618","3,492,967","52,651"
,,067,,,,,,,国立研究開発法人国際農林水産業研究センター施設整備費,,0,"73,156","△ 73,156"
,,,13,061,1,30,5,16,,国立研究開発法人国際農林水産業研究センター施設整備費補助金,0,"73,156","△ 73,156"
,地方農政局,,,,,,,,,,"77,805,727","80,838,937","△ 3,033,210"
,,081,,,,,,,地方農政局,,"57,344,462","60,418,863","△ 3,074,401"
,,,95,061,2,11,1,02,,職員基本給,"31,026,926","33,379,614","△ 2,352,688"
,,,95,061,2,11,1,03,,職員諸手当,"16,162,073","17,218,021","△ 1,055,948"
,,,95,061,2,11,1,04,,超過勤務手当,"2,064,339","2,188,767","△ 124,428"
,,,95,061,2,11,1,05,,非常勤職員手当,"17,663","17,619",44
,,,95,061,2,11,1,05,,短時間勤務職員給与,"3,124,755","2,001,716","1,123,039"
,,,95,089,2,11,1,05,,児童手当,"241,010","269,970","△ 28,960"
,,,95,061,2,12,9,06,,諸謝金,"8,050","9,131","△ 1,081"
,,,95,061,2,12,2,08,,職員旅費,"119,239","122,103","△ 2,864"
,,,95,061,2,12,2,08,,委員等旅費,"4,118","4,195",△ 77
,,,95,061,2,12,3,09,,庁費,"3,518,370","3,347,805","170,565"
,,,95,061,2,12,3,09,,情報処理業務庁費,"563,749","719,613","△ 155,864"
,,,95,061,2,12,3,09,,移転費,"128,611","733,891","△ 605,280"
,,,95,061,2,12,3,09,,土地建物借料,"60,904","77,355","△ 16,451"
,,,95,061,2,12,3,09,,各所修繕,"110,916","139,610","△ 28,694"
,,,95,061,2,12,3,09,,公共施設等維持管理運営費,"184,076","179,185","4,891"
,,,95,199,2,13,3,09,,自動車重量税,"5,607","6,157",△ 550
,,,95,029,2,13,5,16,,国有資産所在市町村交付金,"3,526","3,581",△ 55
,,,95,061,2,12,9,17,,交際費,530,530,0
,,082,,,,,,,地方農政局施設費,,"372,881","638,484","△ 265,603"
,,,95,061,1,20,2,08,,施設施工旅費,"1,706","1,723",△ 17
,,,95,061,1,20,3,09,,施設施工庁費,"70,610","40,653","29,957"
,,,95,061,1,20,4,15,,施設整備費,"300,565","596,108","△ 295,543"
,,083,,,,,,,海岸事業工事諸費,,"421,791","412,057","9,734"
,,,41,051,1,20,1,02,,職員基本給,"179,593","174,100","5,493"
,,,41,051,1,20,1,03,,職員諸手当,"101,255","98,921","2,334"
,,,41,051,1,20,1,04,,超過勤務手当,"15,990","15,975",15
,,,41,089,1,20,1,05,,児童手当,"4,300","3,640",660
,,,41,051,1,20,2,08,,職員旅費,"3,346","3,557",△ 211
,,,41,051,1,20,2,08,,日額旅費,73,72,1
,,,41,051,1,20,2,08,,赴任旅費,"2,200","1,980",220
,,,41,051,1,20,3,09,,庁費,644,628,16
,,,41,051,1,20,3,09,,車両費,"5,168","2,710","2,458"
,,,41,051,1,20,3,09,,用地処理事務費,7,7,0
,,,41,051,1,20,3,09,,工事雑費,"47,083","50,691","△ 3,608"
,,,41,199,1,20,3,09,,自動車重量税,240,216,24
,,,41,051,1,20,5,16,,国家公務員共済組合負担金,"61,892","59,426","2,466"
,,,41,051,1,95,9,18,,精算還付金,0,134,△ 134
,,084,,,,,,,農業生産基盤整備事業工事諸費,,"19,664,484","19,367,859","296,625"
,,,46,052,1,20,1,02,,職員基本給,"8,207,700","8,175,900","31,800"
,,,46,052,1,20,1,03,,職員諸手当,"4,597,268","4,513,631","83,637"
,,,46,052,1,20,1,04,,超過勤務手当,"720,417","694,526","25,891"
,,,46,052,1,20,1,05,,短時間勤務職員給与,"379,280","338,162","41,118"
,,,46,089,1,20,1,05,,児童手当,"128,310","139,900","△ 11,590"
,,,46,052,1,20,9,06,,諸謝金,"1,957","1,819",138
,,,46,052,1,20,2,08,,職員旅費,"119,150","119,150",0
,,,46,052,1,20,2,08,,日額旅費,"8,490","8,490",0
,,,46,052,1,20,2,08,,赴任旅費,"97,580","111,787","△ 14,207"
,,,46,052,1,20,3,09,,庁費,"40,423","40,423",0
,,,46,052,1,20,3,09,,車両費,"210,280","214,719","△ 4,439"
,,,46,052,1,20,3,09,,用地処理事務費,"1,520","1,505",15
,,,46,052,1,20,3,09,,工事雑費,"2,153,906","2,093,580","60,326"
,,,46,199,1,20,3,09,,自動車重量税,"6,203","6,754",△ 551
,,,46,052,1,20,5,16,,国家公務員共済組合負担金,"2,965,280","2,903,872","61,408"
,,,46,029,1,20,5,16,,国有資産所在市町村交付金,"2,887","2,963",△ 76
,,,46,052,1,95,9,18,,精算還付金,"23,833",678,"23,155"
,,085,,,,,,,農業施設災害復旧事業等工事諸費,,"2,109","1,674",435
,,,49,053,1,20,1,04,,超過勤務手当,746,592,154
,,,49,053,1,20,2,08,,日額旅費,127,101,26
,,,49,053,1,20,3,09,,工事雑費,"1,236",981,255
,北海道農政事務所,,,,,,,,,,"4,255,620","4,676,119","△ 420,499"
,,091,,,,,,,北海道農政事務所,,"4,255,620","4,676,119","△ 420,499"
,,,95,061,2,11,1,02,,職員基本給,"2,206,426","2,373,633","△ 167,207"
,,,95,061,2,11,1,03,,職員諸手当,"1,285,388","1,371,350","△ 85,962"
,,,95,061,2,11,1,04,,超過勤務手当,"100,748","117,955","△ 17,207"
,,,95,061,2,11,1,05,,短時間勤務職員給与,"198,988","137,217","61,771"
,,,95,089,2,11,1,05,,児童手当,"13,550","15,150","△ 1,600"
,,,95,061,2,12,9,06,,諸謝金,889,928,△ 39
,,,95,061,2,12,2,08,,職員旅費,"10,145","10,197",△ 52
,,,95,061,2,12,2,08,,委員等旅費,"1,135","1,144",△ 9
,,,95,061,2,12,3,09,,庁費,"259,375","254,733","4,642"
,,,95,061,2,12,3,09,,情報処理業務庁費,"39,709","36,692","3,017"
,,,95,061,2,12,3,09,,移転費,"12,880","241,694","△ 228,814"
,,,95,061,2,12,3,09,,土地建物借料,"92,386","92,303",83
,,,95,061,2,12,3,09,,各所修繕,"33,412","22,578","10,834"
,,,95,199,2,13,3,09,,自動車重量税,559,515,44
,,,95,061,2,12,9,17,,交際費,30,30,0
,林野庁,,,,,,,,,,"319,181,265","325,555,409","△ 6,374,144"
,,101,,,,,,,林野庁共通費,,"33,207,199","33,315,381","△ 108,182"
,,,95,061,2,11,1,02,,職員基本給,"13,009,040","13,088,856","△ 79,816"
,,,95,061,2,11,1,03,,職員諸手当,"7,079,497","7,066,008","13,489"
,,,95,061,2,11,1,04,,超過勤務手当,"1,082,161","1,078,548","3,613"
,,,95,061,2,11,1,05,,委員手当,"3,935","3,935",0
,,,95,061,2,11,1,05,,非常勤職員手当,"389,335","440,445","△ 51,110"
,,,95,061,2,11,1,05,,短時間勤務職員給与,"980,227","869,194","111,033"
,,,95,061,2,15,1,05,,公務災害補償費,"72,835","77,598","△ 4,763"
,,,95,089,2,11,1,05,,児童手当,"160,000","162,725","△ 2,725"
,,,95,061,2,12,9,06,,諸謝金,"15,613","16,086",△ 473
