所管,組織,,,,,,,,                             項目,,"令和元年度
成立予算額(千円)",補正要求,,,"改令和元年度
予算額(千円)"
,,,46,052,1,30,6,00,,食料安定供給特別会計へ繰入,"11,447,000",0,"△ 76,193","△ 76,193","11,370,807"
,,019,,,,,,,国産農産物生産・供給体制強化対策費,,"388,775,263","122,327,790","△ 25,434,740","96,893,050","485,668,313"
,,,65,061,2,12,5,14,,国産農産物生産・供給体制強化対策調査等委託費,"364,677",0,"△ 14,071","△ 14,071","350,606"
,,,65,061,2,40,5,16,,国産農産物生産・供給体制強化対策事業費補助金,"13,859,247","41,243,417",0,"41,243,417","55,102,664"
,,,65,061,1,82,5,16,,国産農産物生産・供給体制強化対策地方公共団体整備費補助金,0,"55,100,000",0,"55,100,000","55,100,000"
,,,65,061,2,81,5,16,,国産農産物生産・供給体制強化対策地方公共団体事業費補助金,"522,057","3,646,621",0,"3,646,621","4,168,678"
,,,65,061,1,92,5,16,,国産農産物生産・供給体制強化対策整備費補助金,"89,216","16,737,760",0,"16,737,760","16,826,976"
,,,65,061,2,40,5,16,,水田活用直接支払交付金,"321,500,000",0,"△ 25,420,669","△ 25,420,669","296,079,331"
,,,65,065,2,30,5,16,,農畜産業振興対策交付金,"24,308,954","5,599,992",0,"5,599,992","29,908,946"
,,,65,061,2,12,9,06,,諸謝金外12目,"28,131,112",0,0,0,"28,131,112"
,,020,,,,,,,牛肉等関税財源国産畜産物生産・供給体制強化対策費,,"38,014,889",0,0,0,"38,014,889"
,,021,,,,,,,独立行政法人農畜産業振興機構運営費,,"2,608,337",0,0,0,"2,608,337"
,,022,,,,,,,独立行政法人家畜改良センター運営費,,"6,662,070",0,0,0,"6,662,070"
,,023,,,,,,,独立行政法人家畜改良センター施設整備費,,"151,038","1,300,000",0,"1,300,000","1,451,038"
,,,65,061,1,30,5,16,,独立行政法人家畜改良センター施設整備費補助金,"151,038","1,300,000",0,"1,300,000","1,451,038"
,,024,,,,,,,農林水産政策研究所,,"933,059",0,"△ 52,735","△ 52,735","880,324"
,,,13,061,2,20,1,02,,職員基本給,"435,768",0,"△ 29,295","△ 29,295","406,473"
,,,13,061,2,20,1,03,,職員諸手当,"242,554",0,"△ 16,023","△ 16,023","226,531"
,,,13,061,2,20,1,05,,短時間勤務職員給与,"5,982",0,"△ 5,982","△ 5,982",0
,,,13,089,2,20,1,05,,児童手当,"4,865",0,"△ 1,435","△ 1,435","3,430"
,,,13,061,2,20,9,06,,諸謝金外12目,"243,890",0,0,0,"243,890"
,,026,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構運営費,,"1,451,353",0,0,0,"1,451,353"
,,027,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費,,"138,584",0,0,0,"138,584"
,,028,,,,,,,農業・食品産業強化対策費,,"23,241,031","21,494,503",0,"21,494,503","44,735,534"
,,,65,061,1,82,5,16,,農業・食品産業強化対策整備交付金,"20,371,571","3,999,916",0,"3,999,916","24,371,487"
,,,65,061,2,81,5,16,,農業・食品産業強化対策推進交付金,"2,869,460","17,494,587",0,"17,494,587","20,364,047"
,,029,,,,,,,農林水産業ロボット技術活用推進費,,"96,519",0,△ 126,△ 126,"96,393"
,,,65,061,2,40,5,16,,農林水産業ロボット技術活用推進事業費補助金,"96,519",0,△ 126,△ 126,"96,393"
,,030,,,,,,,農林水産業気候変動・生物多様性保全等対策費,,"153,340",0,"△ 2,866","△ 2,866","150,474"
,,,95,061,2,12,5,14,,農林水産業気候変動・生物多様性保全等対策調査等委託費,"125,387",0,"△ 2,866","△ 2,866","122,521"
,,,95,061,2,12,9,06,,諸謝金外3目,"27,953",0,0,0,"27,953"
,,031,,,,,,,環境保全型農業生産対策費,,"2,500,853",0,0,0,"2,500,853"
,,032,,,,,,,農村地域資源維持・継承等対策費,,"75,120,282",0,0,0,"75,120,282"
,,044,,,,,,,6次産業化市場規模拡大対策費,,"1,434,295","7,793,800",0,"7,793,800","9,228,095"
,,,65,061,2,81,5,16,,6次産業化市場規模拡大対策推進交付金,"313,924",0,0,0,"313,924"
,,,65,061,1,82,5,16,,6次産業化市場規模拡大対策整備交付金,"1,120,371","7,793,800",0,"7,793,800","8,914,171"
,,033,,,,,,,農山漁村6次産業化対策費,,"1,462,906",0,0,0,"1,462,906"
,,035,,,,,,,農山漁村活性化対策費,,"20,097,406","698,805",0,"698,805","20,796,211"
,,,95,061,2,81,5,16,,農山漁村活性化対策推進交付金,"11,391,000","698,805",0,"698,805","12,089,805"
,,,95,061,2,12,9,06,,諸謝金外4目,"8,706,406",0,0,0,"8,706,406"
,,036,,,,,,,農山漁村地域整備事業費,,"80,004,000","5,474,000",0,"5,474,000","85,478,000"
,,,46,052,1,82,5,00,,農山漁村地域整備交付金,"80,004,000","5,474,000",0,"5,474,000","85,478,000"
,,037,,,,,,,農林水産統計調査費,,"9,207,574",0,"△ 17,304","△ 17,304","9,190,270"
,,,95,061,2,12,5,14,,農林水産統計調査等委託費,"241,337",0,"△ 17,304","△ 17,304","224,033"
,,,95,061,2,12,9,06,,諸謝金外10目,"8,966,237",0,0,0,"8,966,237"
,,038,,,,,,,風水害等対策費,,"25,463","512,999",0,"512,999","538,462"
,,,95,061,2,82,5,16,,農林水産業共同利用施設災害復旧事業費補助金,"25,463","438,299",0,"438,299","463,762"
,,,95,061,2,86,5,16,,緊急排水事業費補助金,0,"74,700",0,"74,700","74,700"
,,039,,,,,,,受託工事等実施費,,"3,522,535",0,0,0,"3,522,535"
,,040,,,,,,,海岸事業調査諸費,,"3,591",0,0,0,"3,591"
,,041,,,,,,,農業生産基盤整備事業調査諸費,,"1,137,510",0,0,0,"1,137,510"
,,042,,,,,,,農業施設災害復旧事業費,,"7,768,294","59,516,297",0,"59,516,297","67,284,591"
,,,49,053,1,20,4,00,,農業用施設等災害復旧費,"1,139,294","10,917,297",0,"10,917,297","12,056,591"
,,,49,053,1,82,5,00,,農業用施設等災害復旧事業費補助,"6,629,000","48,599,000",0,"48,599,000","55,228,000"
,,043,,,,,,,農業施設災害関連事業費,,"512,584","314,000",0,"314,000","826,584"
,,,49,053,1,82,5,00,,農業用施設等災害関連事業費補助,"490,000","314,000",0,"314,000","804,000"
,,,49,053,1,20,4,00,,地すべり対策災害関連緊急事業費外1目,"22,584",0,0,0,"22,584"
,農林水産本省検査指導機関,,,,,,,,,,"16,173,407","1,058,119","△ 255,261","802,858","16,976,265"
,,051,,,,,,,農林水産本省検査指導所,,"15,817,637","892,954","△ 255,261","637,693","16,455,330"
,,,65,061,2,11,1,02,,職員基本給,"7,245,131",0,"△ 156,691","△ 156,691","7,088,440"
,,,65,061,2,11,1,03,,職員諸手当,"3,659,082",0,"△ 33,474","△ 33,474","3,625,608"
,,,65,061,2,11,1,05,,短時間勤務職員給与,"180,820",0,"△ 58,436","△ 58,436","122,384"
,,,65,089,2,11,1,05,,児童手当,"86,265",0,"△ 6,660","△ 6,660","79,605"
,,,65,061,2,12,3,09,,検査検疫庁費,"2,271,129","892,954",0,"892,954","3,164,083"
,,,65,061,2,12,9,06,,諸謝金外11目,"2,375,210",0,0,0,"2,375,210"
,,052,,,,,,,農林水産本省検査指導所施設費,,"355,770","165,165",0,"165,165","520,935"
,,,65,061,1,20,2,08,,施設施工旅費,"1,016",165,0,165,"1,181"
,,,65,061,1,20,3,09,,施設施工庁費,"15,379","15,000",0,"15,000","30,379"
,,,65,061,1,20,4,15,,施設整備費,"339,375","150,000",0,"150,000","489,375"
,農林水産技術会議,,,,,,,,,,"65,985,031","12,459,422","△ 64,172","12,395,250","78,380,281"
,,061,,,,,,,農林水産技術会議共通費,,"2,200,938",0,"△ 60,111","△ 60,111","2,140,827"
,,,13,061,2,11,1,02,,職員基本給,"924,661",0,"△ 26,985","△ 26,985","897,676"
,,,13,061,2,11,1,03,,職員諸手当,"509,775",0,"△ 17,076","△ 17,076","492,699"
,,,13,061,2,11,1,05,,委員手当,"9,793",0,△ 156,△ 156,"9,637"
,,,13,061,2,11,1,05,,非常勤職員手当,"21,706",0,△ 455,△ 455,"21,251"
,,,13,061,2,11,1,05,,短時間勤務職員給与,"19,381",0,"△ 14,029","△ 14,029","5,352"
,,,13,089,2,11,1,05,,児童手当,"12,120",0,"△ 1,410","△ 1,410","10,710"
,,,13,061,2,12,9,06,,諸謝金外10目,"703,502",0,0,0,"703,502"
,,062,,,,,,,農林水産技術会議施設費,,"199,403",0,0,0,"199,403"
,,063,,,,,,,農林水産業研究開発・技術移転推進費,,"5,460,084","5,000,000","△ 4,061","4,995,939","10,456,023"
,,,13,061,2,12,5,14,,試験研究調査委託費,"3,638,559",0,"△ 4,061","△ 4,061","3,634,498"
,,,13,061,2,30,5,16,,革新的研究開発推進基金補助金,0,"5,000,000",0,"5,000,000","5,000,000"
,,,13,061,2,12,9,06,,諸謝金外10目,"1,821,525",0,0,0,"1,821,525"
,,064,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構運営費,,"53,813,688","7,459,422",0,"7,459,422","61,273,110"
,,,13,061,2,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構農業技術研究業務勘定運営費交付金,"49,849,484","5,554,283",0,"5,554,283","55,403,767"
,,,13,061,2,30,5,16,,国立研究開発法人農業・食品産業技術総合研究機構基礎的研究業務勘定運営費交付金,"3,964,204","1,905,139",0,"1,905,139","5,869,343"
,,065,,,,,,,国立研究開発法人農業・食品産業技術総合研究機構施設整備費,,"744,795",0,0,0,"744,795"
,,066,,,,,,,国立研究開発法人国際農林水産業研究センター運営費,,"3,492,967",0,0,0,"3,492,967"
,,067,,,,,,,国立研究開発法人国際農林水産業研究センター施設整備費,,"73,156",0,0,0,"73,156"
,地方農政局,,,,,,,,,,"80,838,937","1,003","△ 1,119,065","△ 1,118,062","79,720,875"
,,081,,,,,,,地方農政局,,"60,418,863",0,"△ 793,271","△ 793,271","59,625,592"
,,,95,061,2,11,1,02,,職員基本給,"33,379,614",0,"△ 440,217","△ 440,217","32,939,397"
,,,95,061,2,11,1,03,,職員諸手当,"17,218,021",0,"△ 118,581","△ 118,581","17,099,440"
,,,95,061,2,11,1,05,,非常勤職員手当,"17,619",0,"△ 1,780","△ 1,780","15,839"
,,,95,061,2,11,1,05,,短時間勤務職員給与,"2,001,716",0,"△ 207,813","△ 207,813","1,793,903"
,,,95,089,2,11,1,05,,児童手当,"269,970",0,"△ 24,880","△ 24,880","245,090"
,,,95,061,2,12,9,06,,諸謝金外12目,"7,531,923",0,0,0,"7,531,923"
,,082,,,,,,,地方農政局施設費,,"638,484",0,0,0,"638,484"
,,083,,,,,,,海岸事業工事諸費,,"412,057",0,"△ 10,935","△ 10,935","401,122"
,,,41,051,1,20,1,02,,職員基本給,"174,100",0,"△ 4,984","△ 4,984","169,116"
,,,41,051,1,20,1,03,,職員諸手当,"98,921",0,"△ 2,782","△ 2,782","96,139"
,,,41,089,1,20,1,05,,児童手当,"3,640",0,△ 225,△ 225,"3,415"
,,,41,051,1,20,5,16,,国家公務員共済組合負担金,"59,426",0,"△ 2,944","△ 2,944","56,482"
,,,41,051,1,20,2,08,,職員旅費外9目,"75,970",0,0,0,"75,970"
,,084,,,,,,,農業生産基盤整備事業工事諸費,,"19,367,859",0,"△ 314,859","△ 314,859","19,053,000"
,,,46,052,1,20,1,02,,職員基本給,"8,175,900",0,"△ 131,140","△ 131,140","8,044,760"
,,,46,052,1,20,1,03,,職員諸手当,"4,513,631",0,"△ 27,292","△ 27,292","4,486,339"
,,,46,052,1,20,1,05,,短時間勤務職員給与,"338,162",0,"△ 109,426","△ 109,426","228,736"
,,,46,089,1,20,1,05,,児童手当,"139,900",0,"△ 15,460","△ 15,460","124,440"
,,,46,052,1,20,5,16,,国家公務員共済組合負担金,"2,903,872",0,"△ 31,541","△ 31,541","2,872,331"
,,,46,052,1,20,9,06,,諸謝金外11目,"3,296,394",0,0,0,"3,296,394"
,,085,,,,,,,農業施設災害復旧事業等工事諸費,,"1,674","1,003",0,"1,003","2,677"
,,,49,053,1,20,1,04,,超過勤務手当,592,354,0,354,946
,,,49,053,1,20,2,08,,日額旅費,101,60,0,60,161
,,,49,053,1,20,3,09,,工事雑費,981,589,0,589,"1,570"
,北海道農政事務所,,,,,,,,,,"4,676,119",0,"△ 226,640","△ 226,640","4,449,479"
,,091,,,,,,,北海道農政事務所,,"4,676,119",0,"△ 226,640","△ 226,640","4,449,479"
,,,95,061,2,11,1,02,,職員基本給,"2,373,633",0,"△ 132,784","△ 132,784","2,240,849"
,,,95,061,2,11,1,03,,職員諸手当,"1,371,350",0,"△ 59,169","△ 59,169","1,312,181"
,,,95,061,2,11,1,05,,短時間勤務職員給与,"137,217",0,"△ 33,382","△ 33,382","103,835"
,,,95,089,2,11,1,05,,児童手当,"15,150",0,"△ 1,305","△ 1,305","13,845"
,,,95,061,2,12,9,06,,諸謝金外10目,"778,769",0,0,0,"778,769"
,林野庁,,,,,,,,,,"325,555,409","76,514,684","△ 1,960,611","74,554,073","400,109,482"
,,101,,,,,,,林野庁共通費,,"33,315,381",0,"△ 554,240","△ 554,240","32,761,141"
,,,95,061,2,11,1,02,,職員基本給,"13,088,856",0,"△ 233,483","△ 233,483","12,855,373"
,,,95,061,2,11,1,05,,非常勤職員手当,"440,445",0,"△ 52,529","△ 52,529","387,916"
,,,95,061,2,11,1,05,,短時間勤務職員給与,"869,194",0,"△ 229,589","△ 229,589","639,605"
,,,95,061,2,11,5,16,,国家公務員共済組合負担金,"4,112,435",0,"△ 38,639","△ 38,639","4,073,796"
,,,95,061,2,12,9,06,,諸謝金外19目,"14,804,451",0,0,0,"14,804,451"
,,102,,,,,,,林野庁施設費,,"1,051,160",0,0,0,"1,051,160"
,,103,,,,,,,国立研究開発法人森林研究・整備機構運営費,,"10,058,527","339,889",0,"339,889","10,398,416"
,,,13,061,2,30,5,16,,国立研究開発法人森林研究・整備機構研究・育種勘定運営費交付金,"10,058,527","339,889",0,"339,889","10,398,416"
,,104,,,,,,,国立研究開発法人森林研究・整備機構施設整備費,,"223,036",0,0,0,"223,036"
,,105,,,,,,,森林整備・保全費,,"5,958,916","70,000",0,"70,000","6,028,916"
,,,95,061,2,12,5,14,,森林整備・保全調査等委託費,"28,832","70,000",0,"70,000","98,832"
,,,95,061,2,12,9,06,,諸謝金外28目,"5,930,084",0,0,0,"5,930,084"
,,106,,,,,,,国有林野産物等売払及管理処分業務費,,"16,661,539",0,0,0,"16,661,539"
,,107,,,,,,,治山事業費,,"69,889,370","14,843,000",0,"14,843,000","84,732,370"
,,,41,051,1,20,4,00,,治山事業費,"16,521,497","862,000",0,"862,000","17,383,497"
,,,41,051,1,20,4,00,,国有林野内治山事業費,"20,067,044","5,844,000",0,"5,844,000","25,911,044"
,,,41,051,1,82,5,00,,治山事業費補助,"31,129,641","8,137,000",0,"8,137,000","39,266,641"
,,,41,051,1,20,4,00,,営繕宿舎費外2目,"2,171,188",0,0,0,"2,171,188"
,,108,,,,,,,森林整備事業費,,"125,875,552","19,399,000",0,"19,399,000","145,274,552"
,,,46,052,1,20,4,00,,森林環境保全整備事業費,"69,402,552","7,837,000",0,"7,837,000","77,239,552"
,,,46,052,1,82,5,00,,森林環境保全整備事業費補助,"26,306,000","8,811,000",0,"8,811,000","35,117,000"
,,,46,052,1,30,5,00,,水源林造成事業費補助,"18,398,000","2,751,000",0,"2,751,000","21,149,000"
,,,46,052,1,20,4,00,,森林整備事業調査費外3目,"11,769,000",0,0,0,"11,769,000"
,,109,,,,,,,借入金利子国有林野事業債務管理特別会計へ繰入,,"2,326,671",0,"△ 1,171,509","△ 1,171,509","1,155,162"
,,,95,061,2,30,6,22,,国有林野事業債務管理特別会計へ繰入,"2,326,671",0,"△ 1,171,509","△ 1,171,509","1,155,162"
,,110,,,,,,,国有林野事業収入財源借入金債務処理費国有林野事業債務管理特別会計へ繰入,,"19,510,818",0,0,0,"19,510,818"
,,111,,,,,,,林業振興対策費,,"5,784,044","199,997",0,"199,997","5,984,041"
,,,95,061,2,40,5,16,,林業振興事業費補助金,"4,971,409","199,997",0,"199,997","5,171,406"
,,,95,061,2,12,9,06,,諸謝金外6目,"812,635",0,0,0,"812,635"
,,112,,,,,,,林産物供給等振興対策費,,"2,641,479","82,000",0,"82,000","2,723,479"
,,,95,061,2,12,5,14,,林産物供給等振興調査等委託費,"60,248","50,000",0,"50,000","110,248"
,,,95,061,1,95,9,24,,株式会社日本政策金融公庫出資金,0,"32,000",0,"32,000","32,000"
,,,95,061,2,12,9,06,,諸謝金外5目,"2,581,231",0,0,0,"2,581,231"
,,113,,,,,,,森林整備・林業等振興対策費,,"8,673,838","20,109,798",0,"20,109,798","28,783,636"
,,,95,061,2,12,3,09,,国有林野森林整備・林業等振興管理費,0,"199,920",0,"199,920","199,920"
,,,95,061,2,40,5,16,,森林整備・林業等振興事業費補助金,0,"1,955,000",0,"1,955,000","1,955,000"
,,,95,061,1,92,5,16,,森林整備・林業等振興整備費補助金,0,"1,000,000",0,"1,000,000","1,000,000"
,,,95,061,1,82,5,16,,森林整備・林業等振興整備交付金,"7,371,242","16,954,878",0,"16,954,878","24,326,120"
,,,95,061,2,12,5,14,,森林整備・林業等振興調査等委託費外1目,"1,302,596",0,0,0,"1,302,596"
,,114,,,,,,,治山事業工事諸費,,"5,658,630",0,"△ 166,073","△ 166,073","5,492,557"
,,,41,051,1,20,1,02,,職員基本給,"2,572,914",0,"△ 94,260","△ 94,260","2,478,654"
,,,41,051,1,20,1,03,,職員諸手当,"1,282,338",0,"△ 59,787","△ 59,787","1,222,551"
,,,41,089,1,20,1,05,,児童手当,"47,000",0,△ 15,△ 15,"46,985"
,,,41,051,1,20,5,16,,国家公務員共済組合負担金,"1,166,035",0,"△ 12,011","△ 12,011","1,154,024"
,,,41,051,1,20,2,08,,職員旅費外6目,"590,343",0,0,0,"590,343"
,,115,,,,,,,森林整備事業工事諸費,,"7,782,448",0,"△ 68,789","△ 68,789","7,713,659"
,,,46,052,1,20,1,02,,職員基本給,"2,992,727",0,"△ 38,160","△ 38,160","2,954,567"
,,,46,052,1,20,1,03,,職員諸手当,"1,616,120",0,"△ 12,233","△ 12,233","1,603,887"
,,,46,052,1,20,1,05,,常勤職員給与,"201,414",0,"△ 4,141","△ 4,141","197,273"
,,,46,089,1,20,1,05,,児童手当,"46,075",0,"△ 1,850","△ 1,850","44,225"
,,,46,052,1,20,5,16,,国家公務員共済組合負担金,"1,424,099",0,"△ 12,405","△ 12,405","1,411,694"
,,,46,052,1,20,2,08,,職員旅費外8目,"1,502,013",0,0,0,"1,502,013"
,,116,,,,,,,山林施設災害復旧事業費,,"5,263,037","13,660,000",0,"13,660,000","18,923,037"
,,,49,053,1,20,4,00,,林業用施設等災害復旧費,"2,020,037","860,000",0,"860,000","2,880,037"
,,,49,053,1,82,5,00,,林業用施設等災害復旧事業費補助,"3,243,000","12,800,000",0,"12,800,000","16,043,000"
,,117,,,,,,,山林施設災害関連事業費,,"4,823,892","7,811,000",0,"7,811,000","12,634,892"
,,,49,053,1,20,4,00,,林業用施設等災害関連事業費,"2,419,892","1,493,000",0,"1,493,000","3,912,892"
,,,49,053,1,82,5,00,,林業用施設等災害関連事業費補助,"1,682,000","6,318,000",0,"6,318,000","8,000,000"
,,,49,053,1,82,5,00,,後進地域特例法適用団体補助率差額,"722,000",0,0,0,"722,000"
,,118,,,,,,,山林施設災害復旧事業等工事諸費,,"57,071",0,0,0,"57,071"
,水産庁,,,,,,,,,,"163,184,447","81,037,559","△ 190,238","80,847,321","244,031,768"
,,131,,,,,,,水産庁共通費,,"7,951,910",0,"△ 86,901","△ 86,901","7,865,009"
,,,95,061,2,11,1,02,,職員基本給,"4,355,679",0,"△ 23,007","△ 23,007","4,332,672"
,,,95,061,2,11,1,03,,職員諸手当,"2,273,206",0,"△ 19,706","△ 19,706","2,253,500"
,,,95,061,2,11,1,05,,委員手当,"8,987",0,"△ 1,162","△ 1,162","7,825"
,,,95,061,2,11,1,05,,非常勤職員手当,"10,164",0,△ 50,△ 50,"10,114"
,,,95,061,2,11,1,05,,短時間勤務職員給与,"120,204",0,"△ 41,156","△ 41,156","79,048"
,,,95,089,2,11,1,05,,児童手当,"53,870",0,"△ 1,820","△ 1,820","52,050"
,,,95,061,2,12,9,06,,諸謝金外10目,"1,129,800",0,0,0,"1,129,800"
,,132,,,,,,,水産庁施設費,,"49,756",0,0,0,"49,756"
,,133,,,,,,,食料安全保障確立対策費,,"631,100",0,0,0,"631,100"
,,134,,,,,,,国立研究開発法人水産研究・教育機構運営費,,"16,896,775","149,969",0,"149,969","17,046,744"
,,,13,061,2,30,5,16,,国立研究開発法人水産研究・教育機構研究・教育勘定運営費交付金,"14,872,264","149,969",0,"149,969","15,022,233"
,,,13,061,2,30,5,16,,国立研究開発法人水産研究・教育機構海洋水産資源開発勘定運営費交付金,"2,024,511",0,0,0,"2,024,511"
,,135,,,,,,,国立研究開発法人水産研究・教育機構施設整備費,,"434,813","99,913",0,"99,913","534,726"
,,,13,061,1,30,5,16,,国立研究開発法人水産研究・教育機構施設整備費補助金,"434,813","99,913",0,"99,913","534,726"
,,137,,,,,,,水産資源回復対策費,,"29,520,305","361,647",△ 16,"361,631","29,881,936"
,,,65,061,2,11,1,05,,非常勤職員手当,"181,114",0,△ 16,△ 16,"181,098"
,,,65,061,2,12,3,09,,船舶運航費,"3,117,828","361,647",0,"361,647","3,479,475"
,,,65,061,2,12,9,06,,諸謝金外21目,"26,221,363",0,0,0,"26,221,363"
,,138,,,,,,,船舶建造費,,"3,455,906","4,700,868",0,"4,700,868","8,156,774"
,,,95,061,1,20,2,08,,船舶建造旅費,"6,677",698,0,698,"7,375"
,,,95,061,1,20,3,09,,船舶建造庁費,"1,224",170,0,170,"1,394"
,,,95,061,1,20,4,15,,船舶建造費,"3,448,005","4,700,000",0,"4,700,000","8,148,005"
,,139,,,,,,,漁業経営安定対策費,,"25,353,610","57,291,236","△ 84,230","57,207,006","82,560,616"
,,,65,061,2,40,5,16,,漁業経営安定対策事業費補助金,"23,957,054","53,291,236",0,"53,291,236","77,248,290"
,,,65,061,2,40,5,16,,漁業経営維持安定資金利子補給等補助金,"193,814",0,"△ 41,633","△ 41,633","152,181"
,,,65,061,2,40,5,16,,中小漁業関連資金融通円滑化事業費補助金,"278,689",0,"△ 42,597","△ 42,597","236,092"
,,,65,061,1,82,5,16,,漁業経営安定対策地方公共団体整備費補助金,0,"4,000,000",0,"4,000,000","4,000,000"
,,,65,061,2,12,9,06,,諸謝金外8目,"924,053",0,0,0,"924,053"
,,140,,,,,,,保険料国庫負担金等食料安定供給特別会計へ繰入,,"17,884,773",0,"△ 19,091","△ 19,091","17,865,682"
,,,65,061,2,40,6,22,,食料安定供給特別会計へ繰入,"17,884,773",0,"△ 19,091","△ 19,091","17,865,682"
,,141,,,,,,,漁村振興対策費,,"8,486,224","2,999,926",0,"2,999,926","11,486,150"
,,,65,061,2,40,5,16,,水産物加工・流通等対策事業費補助金,"1,374,030","199,926",0,"199,926","1,573,956"
,,,65,061,1,82,5,16,,水産物加工・流通等対策地方公共団体整備費補助金,0,"2,800,000",0,"2,800,000","2,800,000"
,,,65,061,2,12,9,06,,諸謝金外9目,"7,112,194",0,0,0,"7,112,194"
,,142,,,,,,,海岸事業費,,"1,242,962","200,000",0,"200,000","1,442,962"
,,,41,051,1,82,5,00,,海岸保全施設整備事業費補助,"1,139,591","200,000",0,"200,000","1,339,591"
,,,41,051,1,20,4,00,,海岸事業調査費外1目,"103,371",0,0,0,"103,371"
,,143,,,,,,,水産基盤整備費,,"44,720,287","10,007,000",0,"10,007,000","54,727,287"
,,,46,052,1,20,4,00,,特定漁港漁場整備費,"2,944,287","750,000",0,"750,000","3,694,287"
,,,46,052,1,82,5,00,,水産物供給基盤整備事業費補助,"27,014,000","8,314,000",0,"8,314,000","35,328,000"
,,,46,052,1,82,5,00,,水産資源環境整備事業費補助,"12,057,000","943,000",0,"943,000","13,000,000"
,,,46,052,1,20,4,00,,水産基盤整備調査費外2目,"2,705,000",0,0,0,"2,705,000"
,,144,,,,,,,水産業強化対策費,,"5,364,827",0,0,0,"5,364,827"
,,145,,,,,,,海岸事業調査諸費,,"5,038",0,0,0,"5,038"
,,146,,,,,,,水産基盤整備事業工事諸費,,"55,713",0,0,0,"55,713"
,,147,,,,,,,漁港施設災害復旧事業費,,"1,126,448","5,043,000",0,"5,043,000","6,169,448"
,,,49,053,1,20,4,00,,漁港災害復旧費,"81,448",0,0,0,"81,448"
,,,49,053,1,82,5,00,,漁港施設災害復旧事業費補助,"1,045,000","5,043,000",0,"5,043,000","6,088,000"
,,148,,,,,,,漁港施設災害関連事業費,,"4,000","184,000",0,"184,000","188,000"
,,,49,053,1,82,5,00,,漁港施設災害関連事業費補助,"3,000","184,000",0,"184,000","187,000"
,,,49,053,1,82,5,00,,後進地域特例法適用団体補助率差額,"1,000",0,0,0,"1,000"
経済産業省,経済産業本省,,,,,,,,,,"522,400,337","422,793,590","△ 923,195","421,870,395","944,270,732"
,,001,,,,,,,経済産業本省共通費,,"47,922,733",0,"△ 601,066","△ 601,066","47,321,667"
,,,95,016,2,11,1,02,,職員基本給,"12,823,153",0,"△ 124,996","△ 124,996","12,698,157"
,,,95,016,2,11,1,03,,職員諸手当,"6,900,023",0,"△ 49,690","△ 49,690","6,850,333"
,,,95,016,2,11,1,05,,委員手当,"77,387",0,"△ 14,727","△ 14,727","62,660"
,,,95,016,2,11,1,05,,非常勤職員手当,"477,285",0,"△ 77,708","△ 77,708","399,577"
,,,95,016,2,11,1,05,,休職者給与,"214,872",0,"△ 43,886","△ 43,886","170,986"
,,,95,016,2,11,1,05,,国際機関等派遣職員給与,"334,023",0,"△ 48,284","△ 48,284","285,739"
,,,95,016,2,11,1,05,,短時間勤務職員給与,"357,020",0,"△ 67,325","△ 67,325","289,695"
,,,95,016,2,11,1,05,,退職手当,"5,587,709",0,"△ 23,782","△ 23,782","5,563,927"
,,,95,089,2,11,1,05,,児童手当,"109,810",0,△ 610,△ 610,"109,200"
,,,95,016,2,11,5,16,,国家公務員共済組合負担金,"7,943,350",0,"△ 150,058","△ 150,058","7,793,292"
,,,95,016,2,12,9,06,,諸謝金外24目,"13,098,101",0,0,0,"13,098,101"
,,002,,,,,,,経済産業本省施設費,,"915,432",0,0,0,"915,432"
,,003,,,,,,,産業・事業新陳代謝促進費,,"571,212","699,998","△ 2,689","697,309","1,268,521"
,,,60,062,2,40,5,16,,中小企業新事業創出促進対策事業費補助金,"274,036","599,998",0,"599,998","874,034"
,,,95,062,2,40,5,16,,株式会社日本政策金融公庫補助金,"100,952",0,"△ 2,689","△ 2,689","98,263"
,,,95,062,2,72,5,16,,世界経済フォーラム拠出金,0,"100,000",0,"100,000","100,000"
,,,60,062,2,12,5,14,,女性活躍推進基盤整備事業委託費外2目,"196,224",0,0,0,"196,224"
,,004,,,,,,,独立行政法人経済産業研究所運営費,,"1,453,008",0,0,0,"1,453,008"
,,005,,,,,,,技術革新促進・環境整備費,,"1,809,748","126,861,000",△ 160,"126,860,840","128,670,588"
,,,13,062,2,11,1,05,,非常勤職員手当,"2,520",0,△ 160,△ 160,"2,360"
,,,13,062,2,40,5,16,,産業技術実用化開発事業費補助金,"900,000","126,861,000",0,"126,861,000","127,761,000"
,,,13,062,2,12,9,06,,諸謝金外5目,"907,228",0,0,0,"907,228"
,,006,,,,,,,登録免許税納付確認等事務費特許特別会計へ繰入,,"17,604",0,0,0,"17,604"
,,007,,,,,,,国立研究開発法人産業技術総合研究所運営費,,"62,342,817",0,0,0,"62,342,817"
,,029,,,,,,,国立研究開発法人産業技術総合研究所施設整備費,,"5,300,361","11,597,033",0,"11,597,033","16,897,394"
